ACCESSION_NUMBER	DERIV_HOLDING_SK	SECURITY_TITLE	SECURITY_TITLE_FN	CONV_EXERCISE_PRICE	CONV_EXERCISE_PRICE_FN	TRANS_FORM_TYPE	TRANS_FORM_TYPE_FN	EXERCISE_DATE	EXERCISE_DATE_FN	EXPIRATION_DATE	EXPIRATION_DATE_FN	UNDLYNG_SEC_TITLE	UNDLYNG_SEC_TITLE_FN	UNDLYNG_SEC_SHARES	UNDLYNG_SEC_SHARES_FN	UNDLYNG_SEC_VALUE	UNDLYNG_SEC_VALUE_FN	SHRS_OWND_FOLWNG_TRANS	SHRS_OWND_FOLWNG_TRANS_FN	VALU_OWND_FOLWNG_TRANS	VALU_OWND_FOLWNG_TRANS_FN	DIRECT_INDIRECT_OWNERSHIP	DIRECT_INDIRECT_OWNERSHIP_FN	NATURE_OF_OWNERSHIP	NATURE_OF_OWNERSHIP_FN
0001104659-24-088482	1666812	Series C Redeemable Convertible Preferred Stock			F12				F12		F12	Common Stock		78267.0								I		Directly held by Bios Fund III NT, LP	F1, F2, F3
0001104659-24-088482	1666813	Series C Redeemable Convertible Preferred Stock			F12				F12		F12	Common Stock		573394.0								I		Directly held by Bios Actuate Co-Invest III, LP	F1, F2, F3
0001104659-24-088482	1666814	Series B Warrant (Right to Buy)		5.27				07-SEP-2018			F13	Common Stock		8068.0								I		Directly held by Bios Fund II, LP	F1, F2, F3
0001104659-24-088482	1666815	Series B Warrants (Right to Buy)		5.27				07-SEP-2018			F13	Common Stock		26355.0								I		Directly held by Bios Fund II QP, LP	F1, F2, F3
0001104659-24-088482	1666816	Series B Warrants (Right to Buy)		5.27				07-SEP-2018			F13	Common Stock		3528.0								I		Directly held by Bios Fund II NT, LP	F1, F2, F3
0001104659-24-088482	1666817	Series B Warrant (Right to Buy)		10.54				07-SEP-2018			F13	Common Stock		8068.0								I		Directly held by Bios Fund II, LP	F1, F2, F3
0001104659-24-088482	1666818	Series B Warrants (Right to Buy)		10.54				07-SEP-2018			F13	Common Stock		26355.0								I		Directly held by Bios Fund II QP, LP	F1, F2, F3
0001104659-24-088482	1666819	Series B Warrants (Right to Buy)		10.54				07-SEP-2018			F13	Common Stock		3528.0								I		Directly held by Bios Fund II NT, LP	F1, F2, F3
0001104659-24-088482	1666793	Series A Redeemable Convertible Preferred Stock			F7				F7		F7	Common Stock		525797.0								I		Directly held by Bios Fund I, LP	F1, F2, F3
0001127602-24-022029	1666970	Stock Option (Right to Buy)		138.03					F8	11-FEB-2026		Common Stock		135000.0				135000.0				D			
0001127602-24-022029	1666985	Deferred Stock Units			F11				F16		F16	Common Stock		25233.75	F7			25233.75	F7			D			
0001127602-24-022029	1666972	Stock Option (Right to Buy)		161.18					F8	15-FEB-2028		Common Stock		92288.0				92288.0				D			
0001127602-24-022029	1666973	Stock Option (Right to Buy)		155.92					F8	14-FEB-2029		Common Stock		83059.0				83059.0				D			
0001127602-24-022029	1666974	Stock Option (Right to Buy)		155.34					F8	13-FEB-2030		Common Stock		83059.0				83059.0				D			
0001127602-24-022029	1666975	Stock Option (Right to Buy)		189.89					F8	11-FEB-2031		Common Stock		40687.0				40687.0				D			
0001127602-24-022029	1666976	Stock Option (Right to Buy)		211.67				10-FEB-2023	F10	10-FEB-2032		Common Stock		32286.0				32286.0				D			
0001127602-24-022029	1666977	Stock Option (Right to Buy)		249.26				09-FEB-2024	F10	09-FEB-2033		Common Stock		24295.0				24295.0				D			
0001127602-24-022029	1666978	Stock Option (Right to Buy)		269.0				15-FEB-2025	F10	15-FEB-2034		Common Stock		23710.0				23710.0				D			
0001127602-24-022029	1666979	Restricted Stock Units			F11			10-FEB-2025	F12	10-FEB-2025	F12	Common Stock		5519.0				5519.0				D			
0001127602-24-022029	1666980	Restricted Stock Units			F11			09-FEB-2026	F12	09-FEB-2026	F12	Common Stock		5549.0				5549.0				D			
0001127602-24-022029	1666981	Restricted Stock Units			F11			15-FEB-2027	F12	15-FEB-2027	F12	Common Stock		5114.0				5114.0				D			
0001127602-24-022029	1666982	Performance Units			F11				F13		F13	Common Stock		16558.0				16558.0				D			
0001127602-24-022029	1666983	Performance Units			F11				F14		F14	Common Stock		16645.0				16645.0				D			
0001127602-24-022029	1666984	Performance Units			F11				F15		F15	Common Stock		15340.0				15340.0				D			
0001127602-24-022029	1666971	Stock Option (Right to Buy)		168.7					F8	09-FEB-2027		Common Stock		135000.0				135000.0				D			
0001613103-24-000129	1666996	Stock Option (Right to Buy)		87.76				31-JUL-2024	F3	31-JUL-2033		Ordinary Shares		10164.0								D			
0001613103-24-000129	1666997	Stock Option (Right to Buy)		80.0				29-JUL-2025	F3	29-JUL-2034		Ordinary Shares		1540.0								D			
0001613103-24-000129	1667000	Performance Share Unit			F6				F9		F9	Ordinary Shares		6250.0	F10							D			
0001613103-24-000129	1666999	Performance Share Unit			F6				F7		F7	Ordinary Shares		3125.0	F8							D			
0001613103-24-000129	1666998	Performance Share Unit			F6				F4		F4	Ordinary Shares		3245.0	F5							D			
0001583708-24-000064	1666952	Class B Common Stock			F8, F7				F8, F7		F8, F7	Class A Common Stock		423629.0				423629.0				I		By Trust	F9
0000950170-24-095557	1666933	Stock Option (Right to Buy)		8.45				11-AUG-2018		11-AUG-2025		Common Stock		8500.0								D			
0001415889-24-021099	1666785	Employee Stock Option (Right to Buy)		55.35					F1	23-FEB-2027		Common Stock		3075.0								D			
0001415889-24-021099	1666788	Stock Growth Incentive Unit			F4				F4		F4	Common Stock		1903.0								D			
0001415889-24-021099	1666787	Employee Stock Options (Right to Buy)		59.05					F3	23-FEB-2025		Common Stock		2244.0								D			
0001415889-24-021099	1666786	Employee Stock Options (Right to Buy)		46.07					F2	23-FEB-2026		Common Stock		2988.0								D			
0001592386-24-000091	1666907	Non-voting common interest units of Virtu Financial LLC			F3				F3		F3	Class A common stock		4760.0				4760.0				I		See footnote	F4
0001437749-24-026093	1666934	Series A Convertible Preferred Stock		327.87				05-AUG-2024			F1	Common Stock		7213115.0								D	F3		
